Image Name,Caption
Copy of 19.jpg,"A man in a turban drives an ox-drawn cart across a rural landscape, with a large tree and a stormy sky in the background. "
63.jpg,"A geometric abstract painting with a central motif made of grey and white swirling lines forming a star against a background of vibrant green, blue, yellow and red geometric shapes and colours."
Copy of 20.jpg,"A watercolor painting with a group of people and cattle walk along a dirty path lined in a lush, green forest set in a rural landscape."
CDO.2022.131.jpg,"A man with a beard and a skeleton body is lighting his cigarette and a cage hangs behind him, againts a blue background"
Copy of 27.jpg,"A watercolor painting with a woman in a red blouse and green skirt with her hair in a bun, operating a grinding mill with clothes hanging behind her in a rustic household setting."
18.12.jpg,"A stylized portrait of a man playing a flute, rendered in shades of brown. Two birds with outstretched wings hover above him . The background is a wash of yellow and gold."
15.jpg,"A white goat with brown spots stands on a green field with a green hillside in the background, under a red and orange sky with two small goats under it.
"
CDO.2022.008.jpg,"A circular ceramic plate with a swan painted in earthy tones, including browns, reds, and whites."
Copy of 28.jpg,"A stylized depiction of a couple, against a reddish-yellow background. The woman on the left wears a patterned garment and holds a fan, while the man on the right sits with his back to the viewer, holding a large stalk of wheat
"
Copy of 30.jpg,A stylized depiction of a woman in a red and white patterned outfit holding a flower and a sword. The background is a solid red with white dots done in a traditional Indian style.
Copy of 29.jpg,"A bare-chested man in a red and yellow dhoti, wearing a white turban, holding a farming tool on his shoulder a white and brown oxen walk behind him against a yellow background with red markings."
Copy of 33.jpg,"A watercolor painting depicting a scene from a traditional Indian dance performance. A dancer, is dressed in elaborate costumes surrounded by muscicians in their traditional attire against a simple wash of blue background."
Copy of 44.jpg,"A stylized depiction of a forest scene with a crescent moon, tall black trees, and a small group of figures in the foreground. The background is a rich red, contrasting with the dark silhouettes of the trees
"
Copy of 50.jpg,"An abstract painting with geometric shapes triangles, squares , lines and patterns in shades of brown, gold, and red. The composition is dense and layered, with overlapping forms."
Copy of ACL.11.2022.006.jpg,"A batik painting with a woman seated with a child in her lap. The woman is wearing a green and brown garment and the child is dressed in a pink and red garment. The background is a dark blue. 
"
Copy of 48.jpg,A vibrant painting with a black man dressed in green and red riding a yellow bull. He is holding a drum against a red background  with a green and red design border.
Copy of Alphonso 01.jpg,"A portrait of a woman with a red dot on her forehead and green earrings. She is wearing a yellow and orange dress and her hands are raised to her face, and her eyes are closed. Indian folk art"
Copy of _DSC1090.jpg,"An abstract painting in a cubist style with geometric shapes and blocks of color in shades of blue, red, pink, and white. It consists of overlapping planes and fragmented forms"
Copy of _DSC1110.jpg,An abstract painting dominated by a vibrant red and orange color palette. Geometric shapes and forms are scattered across the canvas and are shaded with black and brown
Copy of _DSC1164.jpg,"An abstract black and white drawing, depicting several figures and objects, some lying down others standing. Artist uses a combination of hatching, cross-hatching"
Copy of _DSC1160.jpg,"An abstract black and white woodcut drawing of a cow standing and a ring and plant and geometric forms against a denser dark patterned background. 
"
Copy of _DSC1108.jpg,"An abstract painting with a red background with black lines slanted in the center, bottom has red-brown colour with white spots. Geometric shapes and figures are layered throughout the composition."
Copy of _DSC1775.jpg,"A blue skinned deity reclines on a gold throne framed by a gold archway with a multi-headed serpent canopy, surrounded by five figures in elaborate attire and jewelry."
Copy of _DSC1778.jpg,"The white skinned deity adorned with gold jewelry is seated on a red cushion surrounded by two female figures, one holding a parrot and the other holding a fan. The lower portion has smaller figures interacting with cows.
"
Copy of _DSC3127.jpg,A black and white abstract cubist drawning of a cityscape with angular shapes and geometric forms. A stylized rose and a stick-figure-like form are to the left of the cityscape.
Copy of _DSC2249.jpg,"A black background with five figures shaded in gray and white. Four figures stand in a row, the fifth figure is lying down.

"
Copy of _DSC2241.jpg,"A black background with a man shaded in gray and white with his arms raised, and a cluster of white shapes floating above him. "
Copy of _DSC3129.jpg,"An abstract painting in muted browns, blues, and reds, with geometric shapes and forms. The painting features a central cluster of shapes that looks like a textured building hear that floats against a textured background.
"
Copy of _DSC2161.jpg,A batik painting of a woman with long black hair and a orange-yellow outfit kneels with her hands raised above her head. Her hair is black with a single curl.
Copy of _DSC4119.jpg,"A black and white abstract painting with a dominant vertical shape in the center, created with a dense network of lines and marks. The shape resembles a cluster of thorns or a tangled mass of branches. 
"
Copy of _DSC4122.jpg,"A black and white lithograph depicting a scene of bullfighting. The bull is in the center of the image, charging at the matador, who is depicted in the background. The bull's horns are prominent, and the matador's cape is flowing in the wind. 
"
Copy of _DSC4123.jpg,A nude sketch of a man outlined in red with his leg bent at his knee with a blue scribble in a beige background.
Copy of _DSC4121.jpg,"An abstract black and white print with a central, irregular, black shape outlined in white, covered in a grid of white lines with thick white marks that extend beyond the grid. The shape is surrounded by white space on a light brown background.
"
Copy of _DSC4120.jpg,A nude sketch of a man standing from the back outlined in red in a beige background.
Copy of _DSC2242.jpg,"A black and white abstract painting depicts three figures shaded in white-gray. One figure is a nude female lying in a fetal position upside down, second is a larger figure with a long neck and a large face. The third figure is a fish-like figure.
"
Copy of _DSC4124.jpg,"A stylized abstract painting with a brown background with a central a dark tree like form composed of thick brush strokes with shades of red and brown wash.
"
Copy of _DSC4128.jpg,"A black and white abstract drawing with a splash of color in the center. The color is green, yellow, blue, and orange. The drawing is on a white background. 
"
Copy of _DSC4127.jpg,"Abstract painting made with crayons, with an central large irregular shape that resembles a heart. The heart is divided into sections of purple, pink, red, and orange. 
"
Copy of _DSC4130.jpg,"Abstract painting with a dark shadowey aesthetic, with shades of grey, green, purple, and brown. Shapes are largely at areas with sprayed-on color.
"
Copy of _DSC4135.jpg,"A black and white woodcut print depicting a stylized abstract linocut, top section resembles faces and seems defined, bottom part is fluid
"
Copy of _DSC4136.jpg,"A black and white abstract drawing of two figures, with elongated limbs, stylized forms, and angular lines and are in close proximity. The figures are rendered with jagged lines and thick strokes."
Copy of _DSC4126.jpg,"An abstract painting with a dark, swirling mass of lines and branches against a pale yellow background. The asymmetrical composition features the dark mass in the lower right, extending upward, while a vertical black line runs along the left side, bisecting the canvas.





"
Copy of _DSC4137.jpg,"A central vertical form in blue and red crayon, is flanked by two black, abstract, organic shapes. The central form is composed of a series of parallel lines and is surrounded by a series of radiating lines. 
"
Copy of _DSC4139.jpg,"An abstract watercolor painting with shapes and forms in shades of reds, oranges, greens, and blues against a dark background. Three coloured structures lies on a green hill. A reddish orange hill is at the bottom of the canvas.
"
Copy of _DSC4138.jpg,"A black and white woodcut print with two figures both blindfolded and bound with thick ropes, standing on top of another shape that resembles a large animal, also obscured by ropes
"
Copy of _DSC4141.jpg,"A dark, abstract painting with a dark background.  There are faint, hazy shapes of blue, green, purple, and red hues made by spray painting."
Copy of _DSC4144.jpg,"A figure of an animal made of interconnected shapes and forms, painted in earthy browns, greens, reds, and yellows in a white background."
Copy of _DSC4142.jpg,"A minimalist abstract piece on a light grey background with two black figures, one larger than the other, standing side by side in a seemingly intimate embrace.
"
Copy of _DSC4140.jpg,"A black figure with four arms is surrounded by a halo of red flames standing on a platform made of geometric shapes in red, yellow, and blue."
Copy of _DSC4149.jpg,"Three figures with long dark hour in a dark abstract setting, partially obscured by the thick, dark brushstrokes"
Copy of _DSC4143.jpg,"Three abstract, organic shapes rendered in black ink on a beige background. Each shape is composed of dense hatching, with a network of lines extending from them."
Copy of _DSC4150.jpg,"Abstract painting with a vibrant yellow background with hints of green and white with small clustered brushstroke shapes.
"
Copy of _DSC4146.jpg,"A black and white abstract painitng, a figure appears to be tied up by dense black lines and is in enclosed in a black square frame."
Copy of _DSC4153.jpg,"A vibrant, abstract painting in blue, yellow and red, featuring five faceless people at the center standing along the edge looking at the top with their eyes masked with a cloth.
"
Copy of _DSC4145.jpg,A surrealist print with an off-white background and a black central oval frame. Surrounding the oval frame there's swirling lines in brown.  A small splash of vibrant pink is in the oval.
Copy of Perumal 24.jpg,"A painting of a group of people in a stylized, almost abstract style. The figures are rendered in muted browns and tans, with some hints of red. The composition is crowded, with the figures overlapping and interacting with each other.
"
Copy of Perumal 13.jpg,"A painting of three women standing in a line. Two women are wearing long, flowing robes and are carrying baskets on their heads, while the third slightly shorter one is carrying a fish in her hand"
Copy of Perumal 16.jpg,"A painting of four figures with elongated limbs against a dark green background. One holds a spear and drum, the center figure carries a basker on her head, the two small ones carry something on their head and a small black dog appears in the foreground.






"
Copy of Perumal 38.jpg,"Two black figures are sitting wearing a white dress and have large eyes. A small dog is positioned between them, and a bucket and a cylindrical object are on the ground. The background is a wash of purple and gray.
"
Copy of Perumal 15.jpg,"A painting of a family in a rural setting. A woman is holding a baby in her arms with a man standing beside her. A cow stands behind the family. The colors are muted and earthy, with greens, browns, and blues dominating the composition. "
Copy of Perumal 40.jpg,"A group of people are dancing in a circle engaged in a joyous celebration. They are all wearing colorful clothes and some are holding objects. The background is a muted brown.
"
Copy of Perumal 42.jpg,"A painting of four women in colorful saris standing side-by-side against a green background. The women are positioned in a row, their heads slightly tilted towards each other like they're in a conversation."
Copy of Santhanaraj A P 003.jpg,"A painting of two figures, one in a green garment and one in white and brown, are depicted against a green background. The background is a vibrant green with abstract shapes and a swirling red and yellow form at the top of the canvas
"
Copy of Santhanaraj A P 008.jpg,"A profile portrait of a woman with a warm, earthy palette. She wears traditional Indian garment and jewelry, her face turned slightly to the side, with a gentle smile. "
Copy of VR-0722-0001.jpg,"An abstract black and white ink drawing on a light tan paper with a large black form in the center. The form is composed of dense, cross-hatched lines with a smaller, circular black form at the top of the larger form, which appears to be an eye. "
Copy of Santhanaraj A P 018.jpg,"An abstract painting with a dark blue background and scattered shapes of various sizes and colors. The shapes are mostly black and white, but there are also touches of yellow, green, and red. The painting has a textured surface, that appear like cracks."
Copy of Unknown 001.jpg,An abstract oil painting on canvas with a dark green and brown background. It features a central circular shape with light golden yellow shade.
Copy of VR-0722-0022.jpg,A surrealist print with an off-white background and a black central roundish square frame. Surrounding the frame there's swirling lines in brown.  A small splash of vibrant pink is in the oval.
Copy of Santhanaraj A P 004.jpg,"Image description: A vibrant abstract painting depicting a woman in a colorful dress sitting on a rock. The background is a chaotic mix of blue, green, and gray hues. The woman has a red dot between her forehead

"
Copy of VR-0722-0030.jpg,"A black-and-white abstract ink drawing on a brown-toned background. A central vertical black shape, formed by dense parallel lines, is surrounded by a web-like network of black lines extending to the canvas edges, creating a three-dimensional effect."
Copy of VR-0722-0031.jpg,"An abstract expressionist painting with bold black and red shapes representing figures in an urban setting. The artist's use of bold lines and shapes, the dominant color is a rich red, with contrasting black and yellow accents.
"
Copy of VR-0722-0029.jpg,"A nude sketch of a man in bold orange strokes against a beige background. The figure if viewed from the back with their arms extended.
"
Copy of VR-0722-0033.jpg,"A black and white abstract collage with geometric shapes and patterns in red, yellow, and green. It has a few red and yellow patches of color, including a large yellow square in the right corner. The red patches are layered over the black figure and are a brighter, almost translucent red. 
"
Copy of VR-0722-0032.jpg,"A black and white drawing of a hand reaching out from the ground. The hand is drawn in a realistic style, with visible veins and wrinkles. The background is a textured surface, suggestive of dirt or rock. 
"
Copy of VR-0722-0034.jpg,"A black and white abstract painting with two interwined figures, one on each side, their forms are distorted and fragmented. The figures are rendered with a combination of thick, impasto strokes and thin, wispy lines. 
"
Copy of VR-0722-0036.jpg,"An abstract watercolor painting featuring a central, vertical, white form surrounded by smaller, colorful shapes. The background is a dark, textured field of blue and black. The overall composition is asymmetric and dynamic.
"
Copy of no4.jpg,"An abstract batik painting in a dark purple background with flowing, organic shapes in shades of red, white, and purple. There's a yellow tag to the left of the corner
"
_DSC1273.jpg,"A painting depicting three faceless figures, two adults and a child, standing against a blue and green background. The man in holding a goat"
_DSC1275.jpg,"An abstract painting featuring three vertical white stripes against a brown background. The stripes are of varying widths and are slightly curved. The brown background is textured with a rough, speckled pattern. "
_DSC1147.jpg,"An cubist abstract painting featuring a blue and gray elephant-like figure, a red-striped object, and a variety of shapes in a bold color palette of reds, blues, and yellows."
_DSC1082.jpg,"An abstract painting with an array of geometric shapes and forms. The colors are vibrant and varied, ranging from deep red to bright green. The composition is dynamic and chaotic, with the shapes overlapping and interacting with one another. 
"
_DSC4148.jpg,"An abstract expressionist painting depicting a nude figure with a scaly head depicted in muted browns and reds. The figure is surrounded by colorful lines and shapes and is surrounded by swirling, organic shapes in vibrant colors."
_DSC1300.jpg," A circular canvas with a textured teal blue background. Center is a split avocado reveals a pit resembling a white flower with a yellow center and brown fuzz. Surrounding it are: spaceship, an astronaut figure, a purple flower, a wooden circle with a hole,"
_DSC1849.jpg,"An abstract painting with a chaotic composition. The canvas is filled with swirling lines and shapes, rendered in various shades of blue, purple, green, and red.
"
_DSC1977.jpg,"An abstract painting featuring a dynamic interplay of organic forms and colors in shades of purple, pink, yellow, and brown. The background is a pale wash of color, providing a subtle contrast to the vibrant foreground. There is a fish's head in the center.
"
Gurunathan_Painting_metal50.jpg,"The painting is a rusty metal-like surfaces in shades of brown, white, and blue.
"
Fonceca horses 01.jpg,A brown horse stands in a stable with a white dog at its feet. The horse is wearing a bridle and a lead rope. There are hay bales in the background.
Gurunathan_Painting_small52_oriented.jpg,"An abstract painting with off-white background. The painting is composed of many different pieces of material, including fabric, paper, and paint. In the right center of the painting there are four buttons. The buttons are black, gray, red, and white.
"
Fonceca horses 02.jpg,A brown horse stands in a stable. There are hay bales in the background.
_DSC2159.jpg,An abstract batik painting in a dark brown and gold color scheme. The painting features geometric shapes and patterns that are reminiscent of ancient textiles or tapestries.
Munuswamy 02.jpg,"An abstract painting with a large red rounded form in the upper center against a tan-white background. A thin dark line extends downward, intersecting abstract shapes and lines in green, brown, and red, while a large brown rectangle dominates the bottom."
M F Husain 001 .jpg,"A mixed media artwork depicting a woman's body contorted and falling across a newspaper page. The woman's body is outlined in black, with vibrant colors filling in her clothing and the surrounding newspaper background. "
_DSC6273.jpg,"A group of three figures are depicted in a close-up composition. Only their head & shoulders are visible. The central figure, a man wearing a red hat and a yellow coat, holds a trumpet to his lips. The other two figures stand behind him, their faces obscured by shadows. 
"
Munuswamy 01.jpg,"The painting depicts a nude figure with elongated limbs, rendered in shades of brown, black, and blue-grey. The figure is depicted in a contorted pose, with the head tilted back and the limbs seemingly intertwined."
Henry Daniel 001.jpg,"A large, round sun in shades of yellow and orange is depicted in the top center of the canvas. There are dark blue, brown, and grey tones shapes, with faint, white, linear figures of horses and riders scattered throughout.
"
Henry Daniel 002 .jpg,"The painting depicts a nude female figure standing with her right arm raised. She has a dark outline with a light, almost white, interior. The figure is rendered in a fragmented style and the background is a flat expanse of turquoise blue."
Redappa Naidu 03.jpg,"A painting depicting three figures seated in a landscape setting in gestural style. The figures are dressed in light-colored clothing and are positioned in a relaxed posture. The background is a blend of greens and browns, garden environment"
Perumal 11.jpg,"A group of men, mostly nude, are depicted in a loose, gestural style, with a few figures partially clothed are in gathering or ceremony dancing with one man holding his hands in the air. The figures are rendered in a muted palette of browns, grays, and whites, with hints of pink and purple.
"
Suriyamoorthy M 003.jpg,"The painting has two figures, a woman and a child, against a background of geometric shapes and patterns. The woman, wearing a yellow blouse and red sari, sits with her head tilted down, while the child leans on her shoulder. "
Santhanaraj 020.jpg,"A nude woman with dark skin and long black hair sits in a lush, green landscape. She wears a white skirt and has a necklace around her neck. The figure has shades of gray and purple against a background of green, red, and brown."
Santhanaraj A P 017.jpg,"A painting of a landscape with a river, trees, and a small white cross in the distance. The sky is a dark blue, and the river is a muted gray. The trees are a mixture of greens and browns. The cross is positioned in the center of the painting."
Santhanaraj A P 014.jpg,"An abstract painting with a primarily yellow background. Overlaid are various shades of brown, green, and blue. The painting appears to depict a figure in the center of the canvas with its arms raised. The figure is composed of fragmented shapes and lines. "
Traditional arts 032.jpg,"A traditional Indian painting depicting a Hindu  goddess, adorned in elaborate jewelry and garments. The figure stands within a richly decorated archway, suggesting a sacred space or temple setting. "
Traditional arts 010.jpg,"A vibrant depiction of the light blue skinnedHindu deity, seated on a serpent throne with multiple heads, surrounded by figures playing musical instruments. It is painted on glass and there are several cracks."
Varadarajan.jpg,"An abstract black and white etching depicting a circular form in the center surrounded by swirling, textured lines. The circular form is a lighter shade of gray than the surrounding lines and appears to be partially obscured. The etching is executed in a loose, gestural style.
"
no1.jpg,"An abstract batik painting with a fragmented composition in shades of yellow, brown, and white. The artwork features geometric shapes and organic forms. The left side is dominated by brown, whereas the right is dominated by yellow.
"
Traditional arts 014.jpg,"A painting depicting a central figure of a Hindu deity, seated, surrounded by two female figures. The painting exhibits a vibrant color palette with hues of red, blue, gold, and green, creating a rich and ornate aesthetic. 
"
T K Padmini 001.jpg,"A still life painting depicting a purple apple and green leaves on a red and pink patterned background. The apple is rendered in a stylized form, with a smooth surface. The background is a light gray with a few indistinct shapes.
"
VR-0722-0035.jpg,"The painting is a vibrant abstract forest scene with a deep green background. A central yellow-brown tree overlaps blue and green shapes, surrounded by colorful figures in reds, oranges, blues, and purples. Angular lines and swirling forms create a dynamic, inviting composition.






"